loc_name,status,score,x,y,l_adr,n_sq_rplsa,adresse,c_postal,l_com,n_voie,c_suf1,c_desi,l_voie,pays
,,,,,,"758847488",90 RUE ARNOLD NETTER,"75012",Paris 12e Arrondissement,"90",,RUE,ARNOLD NETTER,FRANCE
,,,,,,"920030291",RUE LEROY,"92110",Clichy,,,RUE,LEROY,FRANCE
,,,,,,"930024564",RUE RACINE,"93000",Bobigny,,,RUE,RACINE,FRANCE
,,,,,,"758847449",1 AVENUE DE LA PORTE DE MONTREUIL,"75020",Paris 20e Arrondissement,"1",,AVENUE,DE LA PORTE DE MONTREUIL,FRANCE
,,,,,,"758847450",10 AVENUE DE LA PORTE DE VILLIERS,"75017",Paris 17e Arrondissement,"10",,AVENUE,DE LA PORTE DE VILLIERS,FRANCE
,,,,,,"758847451",111 BOULEVARD MAC DONALD,"75019",Paris 19e Arrondissement,"111",,BOULEVARD,MAC DONALD,FRANCE
,,,,,,"758847452",113 BOULEVARD MAC DONALD,"75019",Paris 19e Arrondissement,"113",,BOULEVARD,MAC DONALD,FRANCE
,,,,,,"758847453",12 BIS RUE FREDERICK LEMAITRE,"75020",Paris 20e Arrondissement,"12",BIS,RUE,FREDERICK LEMAITRE,FRANCE
,,,,,,"758847454",12 RUE MARIE ANDREE LAGROUA WEIL HALLE,"75013",Paris 13e Arrondissement,"12",,RUE,MARIE ANDREE LAGROUA WEIL HALLE,FRANCE
,,,,,,"758847455",140 RUE DE FLANDRE,"75019",Paris 19e Arrondissement,"140",,RUE,DE FLANDRE,FRANCE
,,,,,,"758847456",16 PASSAGE GUSTAVE LE PEU,"75011",Paris 11e Arrondissement,"16",,PASSAGE,GUSTAVE LE PEU,FRANCE
,,,,,,"758847457",18 BIS RUE DE CRIMEE,"75019",Paris 19e Arrondissement,"18",BIS,RUE,DE CRIMEE,FRANCE
,,,,,,"758847458",18 TER RUE DE CRIMEE,"75019",Paris 19e Arrondissement,"18",TER,RUE,DE CRIMEE,FRANCE
,,,,,,"758847459",2 AVENUE DE LA PORTE DE MONTREUIL,"75020",Paris 20e Arrondissement,"2",,AVENUE,DE LA PORTE DE MONTREUIL,FRANCE
,,,,,,"758847460",2 SQUARE SAINTE IRENEE,"75011",Paris 11e Arrondissement,"2",,SQUARE,SAINTE IRENEE,FRANCE
,,,,,,"758847461",20 RUE DU COLONELDOMINE,"75013",Paris 13e Arrondissement,"20",,RUE,DU COLONELDOMINE,FRANCE
,,,,,,"758847462",20 RUE JULES ROMAIN,"75019",Paris 19e Arrondissement,"20",,RUE,JULES ROMAIN,FRANCE
,,,,,,"758847463",20 RUE ST GERMAIN AUXE,"75001",Paris 1er Arrondissement,"20",,RUE,ST GERMAIN AUXE,FRANCE
,,,,,,"758847464",22 RUE JULES ROMAIN,"75019",Paris 19e Arrondissement,"22",,RUE,JULES ROMAIN,FRANCE
,,,,,,"758847465",246 BIS RUE DES PYRENEES,"75020",Paris 20e Arrondissement,"246",BIS,RUE,DES PYRENEES,FRANCE
,,,,,,"758847466",25 BIS RUE D EUPATORIA,"75020",Paris 20e Arrondissement,"25",BIS,RUE,D EUPATORIA,FRANCE
,,,,,,"758847467",28 BIS RUE DE TERRE NEUVE,"75020",Paris 20e Arrondissement,"28",BIS,RUE,DE TERRE NEUVE,FRANCE
,,,,,,"758847468",3 AVENUE DE LA PORTE DE MONTREUIL,"75020",Paris 20e Arrondissement,"3",,AVENUE,DE LA PORTE DE MONTREUIL,FRANCE
,,,,,,"758847469",3 RUELLE LE FRAISIER,"75012",Paris 12e Arrondissement,"3",,RUELLE,LE FRAISIER,FRANCE
